"Course","Where","Url"
"arduino-sensors","credit","https://docs.arduino.cc/built-in-examples/"
"arduino-sensors","урок 1","https://docs.arduino.cc/built-in-examples/digital/Button/"
"arduino-sensors","урок 2","https://docs.arduino.cc/built-in-examples/digital/Debounce/"
"arduino-sensors","урок 3","https://docs.arduino.cc/built-in-examples/digital/BlinkWithoutDelay/"
"arduino-sensors","урок 4","https://docs.arduino.cc/built-in-examples/analog/Calibration/"
"arduino-sensors","урок 5","https://docs.arduino.cc/built-in-examples/analog/Smoothing/"
"arduino-sensors","урок 6","https://docs.arduino.cc/built-in-examples/sensors/Knock/"
"arduino-sensors","урок 7","https://docs.arduino.cc/built-in-examples/sensors/Ping/"
"arduino-sensors","урок 8","https://docs.arduino.cc/built-in-examples/display/BarGraph/"
"blender-intro","credit","https://docs.blender.org/manual/en/latest/"
"blender-intro","урок 1","https://docs.blender.org/manual/en/latest/interface/window_system/introduction.html"
"blender-intro","урок 2","https://docs.blender.org/manual/en/latest/modeling/meshes/primitives.html"
"blender-intro","урок 3","https://docs.blender.org/manual/en/latest/modeling/meshes/selecting/introduction.html"
"blender-intro","урок 4","https://docs.blender.org/manual/en/latest/modeling/modifiers/introduction.html"
"blender-intro","урок 5","https://docs.blender.org/manual/en/latest/render/materials/introduction.html"
"blender-intro","урок 6","https://docs.blender.org/manual/en/latest/files/import_export/index.html"
"pico-intro","credit","https://projects.raspberrypi.org/en/projects/introduction-to-the-pico"
"pico-intro","урок 1","https://projects.raspberrypi.org/en/projects/introduction-to-the-pico"
"pico-intro","урок 2","https://projects.raspberrypi.org/en/projects/introduction-to-the-pico"
"pico-intro","урок 3","https://projects.raspberrypi.org/en/projects/introduction-to-the-pico"
"pico-intro","урок 4","https://projects.raspberrypi.org/en/projects/introduction-to-the-pico"
"pico-intro","урок 5","https://projects.raspberrypi.org/en/projects/introduction-to-the-pico"
"pico-intro","урок 6","https://projects.raspberrypi.org/en/projects/introduction-to-the-pico"
"pico-intro","урок 7","https://projects.raspberrypi.org/en/projects/introduction-to-the-pico"
"pico-intro","урок 8","https://projects.raspberrypi.org/en/projects/introduction-to-the-pico"
"python-intro","credit","https://projects.raspberrypi.org/en/pathways/python-intro"
"python-intro","урок 1","https://projects.raspberrypi.org/uk-UA/projects/hello-world"
"python-intro","урок 2","https://projects.raspberrypi.org/uk-UA/projects/target-practice"
"python-intro","урок 3","https://projects.raspberrypi.org/uk-UA/projects/rocket-launch"
"python-intro","урок 4","https://projects.raspberrypi.org/uk-UA/projects/make-a-face"
"python-intro","урок 5","https://projects.raspberrypi.org/uk-UA/projects/dont-collide"
"python-intro","урок 6","https://projects.raspberrypi.org/uk-UA/projects/powerful-patterns"
"scratch-intro","credit","https://projects.raspberrypi.org/en/pathways/scratch-intro"
"scratch-intro","урок 1","https://projects.raspberrypi.org/uk-UA/projects/space-talk"
"scratch-intro","урок 2","https://projects.raspberrypi.org/uk-UA/projects/catch-the-bus"
"scratch-intro","урок 3","https://projects.raspberrypi.org/uk-UA/projects/find-the-bug"
"scratch-intro","урок 4","https://projects.raspberrypi.org/uk-UA/projects/silly-eyes"
"scratch-intro","урок 5","https://projects.raspberrypi.org/uk-UA/projects/surprise-animation"
"scratch-intro","урок 6","https://projects.raspberrypi.org/uk-UA/projects/i-made-you-a-book"
"scratch-more","credit","https://projects.raspberrypi.org/en/projects"
"scratch-more","урок 1","https://projects.raspberrypi.org/uk-UA/projects/broadcasting-spells"
"scratch-more","урок 2","https://projects.raspberrypi.org/uk-UA/projects/ghostbusters"
"scratch-more","урок 3","https://projects.raspberrypi.org/uk-UA/projects/chatbot"
"scratch-more","урок 4","https://projects.raspberrypi.org/uk-UA/projects/catch-the-dots"
"scratch-more","урок 5","https://projects.raspberrypi.org/en/projects/clone-wars"
"scratch-more","урок 6","https://projects.raspberrypi.org/uk-UA/projects/memory"
"web-intro","credit","https://projects.raspberrypi.org/en/pathways/web-intro"
"web-intro","урок 1","https://projects.raspberrypi.org/uk-UA/projects/anime-expressions"
"web-intro","урок 2","https://projects.raspberrypi.org/uk-UA/projects/top-5-emoji-list"
"web-intro","урок 3","https://projects.raspberrypi.org/en/projects/flip-treat-webcards"
"web-intro","урок 4","https://projects.raspberrypi.org/en/projects/mood-board"
"web-intro","урок 5","https://projects.raspberrypi.org/en/projects/sell-me-something"
"web-intro","урок 6","https://projects.raspberrypi.org/en/projects/build-a-webpage"
"web-more","credit","https://projects.raspberrypi.org/en/pathways/more-web"
"web-more","урок 1","https://projects.raspberrypi.org/en/projects/welcome-to-antarctica"
"web-more","урок 2","https://projects.raspberrypi.org/en/projects/comic-character"
"web-more","урок 3","https://projects.raspberrypi.org/en/projects/animated-story"
"web-more","урок 4","https://projects.raspberrypi.org/en/projects/pick-your-favourite"
"web-more","урок 5","https://projects.raspberrypi.org/en/projects/quiz-time"
"web-more","урок 6","https://projects.raspberrypi.org/en/projects/share-your-world"
